iter	Passed	Remaining
0	1	118
1	2	100
2	3	99
3	3	93
4	5	95
5	6	94
6	6	92
7	7	91
8	8	89
9	9	87
10	10	85
11	11	84
12	12	82
13	13	82
14	14	80
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	18	71
21	19	69
22	20	67
23	20	66
24	21	64
25	22	63
26	22	62
27	23	60
28	24	59
29	24	58
30	25	57
31	26	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	30	48
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
