iter	Passed	Remaining
0	148	148251
1	150	75181
2	152	50801
3	154	38548
4	156	31119
5	158	26243
6	160	22794
7	162	20206
8	165	18193
9	166	16520
10	169	15226
11	171	14111
12	173	13151
13	174	12285
14	176	11558
15	178	10950
16	179	10394
17	181	9920
18	183	9468
19	184	9035
20	186	8675
21	187	8354
22	188	8020
23	190	7739
24	191	7470
25	192	7226
26	194	6992
27	194	6762
28	196	6577
29	198	6407
30	199	6236
31	201	6085
32	202	5939
33	203	5782
34	204	5640
35	206	5523
36	207	5399
37	209	5292
38	210	5189
39	211	5072
40	212	4960
41	212	4853
42	213	4759
43	215	4679
44	217	4606
45	218	4524
46	218	4439
47	220	4368
48	221	4290
49	222	4220
50	223	4150
51	224	4089
52	225	4037
53	226	3972
54	227	3909
55	228	3855
56	229	3804
57	231	3754
58	232	3701
59	233	3655
60	234	3611
61	236	3577
62	237	3538
63	239	3497
64	240	3456
65	241	3412
66	242	3374
67	243	3331
68	243	3292
69	245	3256
70	246	3223
71	247	3188
72	248	3154
73	249	3120
74	250	3086
75	251	3056
76	252	3023
77	252	2989
78	253	2958
79	254	2927
80	255	2901
81	256	2873
82	257	2840
83	257	2812
84	258	2784
85	259	2757
86	260	2733
87	261	2708
88	262	2684
89	263	2660
90	264	2637
91	265	2616
92	266	2598
93	267	2577
94	268	2555
95	269	2534
96	269	2512
97	270	2490
98	271	2470
99	272	2450
100	273	2430
101	273	2409
102	274	2390
103	275	2371
104	276	2354
105	276	2335
106	277	2317
107	278	2299
108	279	2282
109	280	2266
110	281	2250
111	281	2234
112	282	2219
113	283	2203
114	284	2187
115	284	2171
116	285	2155
117	286	2141
118	287	2125
119	287	2110
120	288	2095
121	288	2079
122	289	2064
123	290	2050
124	290	2036
125	291	2022
126	292	2007
127	292	1994
128	293	1980
129	294	1967
130	294	1954
131	295	1941
132	296	1929
133	296	1918
134	297	1907
135	298	1895
136	298	1883
137	299	1871
138	300	1858
139	300	1846
140	301	1835
141	301	1822
142	302	1810
143	302	1799
144	303	1788
145	303	1776
146	304	1765
147	304	1754
148	305	1743
149	305	1733
150	306	1724
151	307	1715
152	308	1705
153	308	1695
154	309	1685
155	309	1675
156	310	1665
157	310	1656
158	311	1647
159	312	1638
160	312	1627
161	312	1618
162	313	1609
163	314	1600
164	314	1591
165	315	1582
166	315	1574
167	316	1566
168	316	1558
169	317	1550
170	318	1542
171	318	1534
172	319	1526
173	319	1518
174	320	1510
175	320	1502
176	321	1494
177	321	1486
178	322	1479
179	323	1471
180	323	1464
181	324	1456
182	324	1449
183	325	1442
184	325	1435
185	326	1429
186	327	1423
187	328	1417
188	329	1412
189	329	1406
190	330	1400
191	331	1394
192	331	1388
193	332	1381
194	333	1375
195	333	1368
196	334	1362
197	334	1355
198	335	1349
199	335	1343
200	336	1337
201	337	1332
202	338	1327
203	338	1321
204	339	1315
205	339	1309
206	340	1303
207	340	1298
208	341	1292
209	342	1287
210	342	1281
211	343	1275
212	343	1270
213	344	1264
214	344	1259
215	345	1253
216	346	1248
217	346	1243
218	347	1239
219	348	1233
220	348	1228
221	349	1223
222	349	1218
223	350	1213
224	350	1208
225	351	1203
226	351	1198
227	352	1193
228	352	1188
229	353	1183
230	354	1178
231	354	1174
232	355	1169
233	355	1165
234	356	1160
235	357	1156
236	357	1151
237	358	1147
238	359	1143
239	359	1139
240	360	1134
241	360	1130
242	361	1126
243	362	1121
244	362	1117
245	363	1113
246	363	1108
247	364	1104
248	364	1100
249	365	1095
250	365	1091
251	366	1087
252	366	1083
253	367	1079
254	368	1075
255	368	1072
256	369	1068
257	370	1064
258	370	1060
259	371	1056
260	371	1052
261	372	1049
262	372	1045
263	373	1041
264	374	1037
265	374	1033
266	375	1029
267	375	1026
268	376	1022
269	376	1018
270	377	1015
271	378	1011
272	378	1008
273	379	1004
274	379	1001
275	380	997
276	380	993
277	381	990
278	381	986
279	382	983
280	382	979
281	383	976
282	384	973
283	384	970
284	385	966
285	385	963
286	386	960
287	387	957
288	388	954
289	388	951
290	389	948
291	389	945
292	390	942
293	391	939
294	391	935
295	392	932
296	392	929
297	393	926
298	393	923
299	394	920
300	394	917
301	395	913
302	396	911
303	396	907
304	397	904
305	397	902
306	398	899
307	399	897
308	400	894
309	400	891
310	401	888
311	401	886
312	402	883
313	402	880
314	403	877
315	404	874
316	404	871
317	405	868
318	405	865
319	406	863
320	406	860
321	407	857
322	407	855
323	408	852
324	409	849
325	409	847
326	410	844
327	410	841
328	411	839
329	412	836
330	412	833
331	413	831
332	413	828
333	414	826
334	415	824
335	415	821
336	416	819
337	417	817
338	418	815
339	418	813
340	419	810
341	420	808
342	420	805
343	421	803
344	421	800
345	422	798
346	422	795
347	423	793
348	423	790
349	424	788
350	424	785
351	425	783
352	426	780
353	426	778
354	427	775
355	427	773
356	428	771
357	429	769
358	429	767
359	430	764
360	430	762
361	431	760
362	431	758
363	432	755
364	433	753
365	433	751
366	434	748
367	434	746
368	435	744
369	435	742
370	436	739
371	436	737
372	437	735
373	438	733
374	438	731
375	439	729
376	440	727
377	440	725
378	441	723
379	441	720
380	442	718
381	443	716
382	443	714
383	444	712
384	445	711
385	445	709
386	446	707
387	446	705
388	447	702
389	448	700
390	448	699
391	449	697
392	450	695
393	450	693
394	451	690
395	451	688
396	452	686
397	452	684
398	453	682
399	453	680
400	454	678
401	454	676
402	455	674
403	455	672
404	456	670
405	457	668
406	457	667
407	458	665
408	459	663
409	459	661
410	460	660
411	461	658
412	461	656
413	462	654
414	463	652
415	463	650
416	464	649
417	464	647
418	465	645
419	466	643
420	466	641
421	467	640
422	467	638
423	468	636
424	469	634
425	469	633
426	470	631
427	471	629
428	471	627
429	472	626
430	473	624
431	473	623
432	474	621
433	474	619
434	475	617
435	475	615
436	476	613
437	477	612
438	477	610
439	478	608
440	478	606
441	479	605
442	480	603
443	480	601
444	481	600
445	481	598
446	482	596
447	482	594
448	483	593
449	483	591
450	484	589
451	485	588
452	485	586
453	486	584
454	487	583
455	487	581
456	488	580
457	488	578
458	489	577
459	490	575
460	491	574
461	491	572
462	492	571
463	493	569
464	493	567
465	494	566
466	494	564
467	495	562
468	495	561
469	496	559
470	496	557
471	497	556
472	497	554
473	498	553
474	499	551
475	499	550
476	500	548
477	500	546
478	501	545
479	502	543
480	502	542
481	503	540
482	503	539
483	504	537
484	504	536
485	505	534
486	506	533
487	507	531
488	507	530
489	508	529
490	508	527
491	509	526
492	510	524
493	510	523
494	511	521
495	511	519
496	512	518
497	512	516
498	513	515
499	513	513
500	514	512
501	514	510
502	515	509
503	516	507
504	516	506
505	517	504
506	517	503
507	518	502
508	519	500
509	519	499
510	520	497
511	520	496
512	521	494
513	521	493
514	522	492
515	523	490
516	523	489
517	524	487
518	524	486
519	525	484
520	525	483
521	526	482
522	527	480
523	527	479
524	528	478
525	529	476
526	529	475
527	530	474
528	530	472
529	531	471
530	532	470
531	532	468
532	533	467
533	534	466
534	534	464
535	535	463
536	535	461
537	536	460
538	536	459
539	537	457
540	538	456
541	538	455
542	539	453
543	539	452
544	540	451
545	541	450
546	541	448
547	542	447
548	543	446
549	544	445
550	544	443
551	545	442
552	546	441
553	546	440
554	547	438
555	548	437
556	548	436
557	549	435
558	549	433
559	550	432
560	551	431
561	551	429
562	552	428
563	552	427
564	553	425
565	553	424
566	554	423
567	554	421
568	555	420
569	555	419
570	556	418
571	556	416
572	557	415
573	558	414
574	558	413
575	559	411
576	560	410
577	560	409
578	561	408
579	561	406
580	562	405
581	562	404
582	563	403
583	563	401
584	564	400
585	565	399
586	565	397
587	566	396
588	566	395
589	567	394
590	567	392
591	568	391
592	569	390
593	569	389
594	570	388
595	570	386
596	571	385
597	571	384
598	572	383
599	573	382
600	573	380
601	574	379
602	574	378
603	575	377
604	575	375
605	576	374
606	576	373
607	577	372
608	578	371
609	579	370
610	579	369
611	580	368
612	581	366
613	581	365
614	582	364
615	582	363
616	583	362
617	583	360
618	584	359
619	585	358
620	585	357
621	586	356
622	586	355
623	587	353
624	587	352
625	588	351
626	589	350
627	589	349
628	590	348
629	591	347
630	591	345
631	592	344
632	592	343
633	593	342
634	593	341
635	594	340
636	594	338
637	595	337
638	595	336
639	596	335
640	597	334
641	597	333
642	598	332
643	599	331
644	599	330
645	600	329
646	601	327
647	601	326
648	602	325
649	602	324
650	603	323
651	603	322
652	604	321
653	605	320
654	605	318
655	606	317
656	606	316
657	607	315
658	607	314
659	608	313
660	609	312
661	609	311
662	610	310
663	610	309
664	611	308
665	612	306
666	612	305
667	613	304
668	613	303
669	614	302
670	614	301
671	615	300
672	615	299
673	616	298
674	617	297
675	617	296
676	618	294
677	619	294
678	619	292
679	620	291
680	620	290
681	621	289
682	621	288
683	622	287
684	623	286
685	623	285
686	624	284
687	624	283
688	625	282
689	626	281
690	626	280
691	627	279
692	627	278
693	628	277
694	628	275
695	629	274
696	630	273
697	630	272
698	631	271
699	631	270
700	632	269
701	632	268
702	633	267
703	633	266
704	634	265
705	635	264
706	635	263
707	636	262
708	636	261
709	637	260
710	638	259
711	638	258
712	639	257
713	639	256
714	640	255
715	641	254
716	641	253
717	642	252
718	642	251
719	643	250
720	643	249
721	644	248
722	645	247
723	645	246
724	646	245
725	646	244
726	647	243
727	647	242
728	648	241
729	648	240
730	649	239
731	650	238
732	650	237
733	651	236
734	651	235
735	652	234
736	652	233
737	653	232
738	654	231
739	654	230
740	655	229
741	655	228
742	656	227
743	656	226
744	657	225
745	658	224
746	658	223
747	659	222
748	659	221
749	660	220
750	661	219
751	661	218
752	662	217
753	663	216
754	663	215
755	664	214
756	664	213
757	665	212
758	665	211
759	666	210
760	667	209
761	667	208
762	668	207
763	668	206
764	669	205
765	670	204
766	670	203
767	671	202
768	672	201
769	672	200
770	673	200
771	674	199
772	674	198
773	675	197
774	676	196
775	676	195
776	677	194
777	677	193
778	678	192
779	679	191
780	679	190
781	680	189
782	681	188
783	681	187
784	682	186
785	683	185
786	683	185
787	684	184
788	684	183
789	685	182
790	685	181
791	686	180
792	686	179
793	687	178
794	688	177
795	688	176
796	689	175
797	689	174
798	690	173
799	691	172
800	691	171
801	692	170
802	693	170
803	693	169
804	694	168
805	694	167
806	695	166
807	696	165
808	696	164
809	697	163
810	697	162
811	698	161
812	698	160
813	699	159
814	699	158
815	700	157
816	701	157
817	702	156
818	702	155
819	703	154
820	703	153
821	704	152
822	704	151
823	705	150
824	705	149
825	706	148
826	707	147
827	707	146
828	708	146
829	708	145
830	709	144
831	709	143
832	710	142
833	711	141
834	711	140
835	712	139
836	713	138
837	713	137
838	714	137
839	714	136
840	715	135
841	715	134
842	716	133
843	717	132
844	717	131
845	718	130
846	718	129
847	719	128
848	719	128
849	720	127
850	721	126
851	722	125
852	722	124
853	723	123
854	723	122
855	724	121
856	725	120
857	725	120
858	726	119
859	726	118
860	727	117
861	727	116
862	728	115
863	728	114
864	729	113
865	729	112
866	730	112
867	731	111
868	731	110
869	732	109
870	733	108
871	733	107
872	734	106
873	734	105
874	735	105
875	735	104
876	736	103
877	736	102
878	737	101
879	738	100
880	738	99
881	739	98
882	739	98
883	740	97
884	741	96
885	741	95
886	742	94
887	743	93
888	743	92
889	744	91
890	744	91
891	745	90
892	745	89
893	746	88
894	746	87
895	747	86
896	748	85
897	748	85
898	749	84
899	749	83
900	750	82
901	750	81
902	751	80
903	752	79
904	753	79
905	753	78
906	754	77
907	754	76
908	755	75
909	755	74
910	756	73
911	756	73
912	757	72
913	758	71
914	758	70
915	759	69
916	759	68
917	760	67
918	760	67
919	761	66
920	762	65
921	762	64
922	763	63
923	764	62
924	764	61
925	765	61
926	765	60
927	766	59
928	766	58
929	767	57
930	768	56
931	768	56
932	769	55
933	769	54
934	770	53
935	770	52
936	771	51
937	772	51
